Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
11:50:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Passenger,Female,Under 18,3,,,Not a Pedestrian,No distancing,Slight Injury
12:16:00,Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:45:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
22:48:00,Saturday,18-30,Male,,,,Stationwagen,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16:01:00,Monday,31-50,Male,Junior high school,Owner,Below 1yr,Public (13?45 seats),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No priority to pedestrian,Slight Injury
8:20:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Office areas,,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
22:00:00,Sunday,18-30,Male,Unknown,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Turnover,Pedestrian,Female,Under 18,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
17:13:00,Tuesday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Above 10yr,,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
12:08:00,Saturday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
20:15:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Pedestrian,Male,31-50,2,,,Unknown or other,Moving Backward,Serious Injury
20:00:00,Sunday,Under 18,Male,High school,Owner,2-5yr,Automobile,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:52:00,Wednesday,18-30,Male,Junior high school,Owner,1-2yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:00:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
12:30:00,Saturday,18-30,Male,Junior high school,Employee,unknown,Stationwagen,Governmental,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
17:55:00,Friday,31-50,Male,Junior high school,Employee,,Stationwagen,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7:50:00,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),,,,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
19:30:00,Saturday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Serious Injury
19:50:00,Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
7:50:00,Friday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
8:43:00,Wednesday,31-50,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:59:00,Saturday,Unknown,Female,Elementary school,Employee,5-10yr,Automobile,Owner,,,Office areas,,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
8:00:00,Monday,Under 18,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
14:05:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
8:10:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Student,Normal,Not a Pedestrian,Driving under the influence of drugs,Serious Injury
13:00:00,Saturday,18-30,Male,,,,,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:36:00,Friday,18-30,Male,,,,Special vehicle,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
9:25:00,Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Serious Injury
8:47:00,Wednesday,18-30,Male,High school,Owner,Above 10yr,Public (12 seats),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:46:00,Saturday,31-50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:00:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,6,Parked,Pedestrian,Female,Over 51,2,Self-employed,Normal,Unknown or other,Changing lane to the left,Slight Injury
11:20:00,Friday,Unknown,Unknown,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:00:00,Monday,Unknown,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,5,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
23:07:00,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
4:10:00,Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
13:05:00,Friday,31-50,Male,Junior high school,Owner,,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,2,Employee,Normal,Not a Pedestrian,Overtaking,Serious Injury
14:10:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Moving Backward,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the left,Slight Injury
9:20:00,Tuesday,Unknown,Male,Writing & reading,Owner,5-10yr,Pick up upto 10Q,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
15:20:00,Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Public (12 seats),Owner,,,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2:47:00,Friday,31-50,Male,High school,Employee,5-10yr,Automobile,Owner,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Fatal injury
19:00:00,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13:15:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
23:35:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
7:45:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:20:00,Friday,Over 51,Unknown,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
14:40:00,Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:30:00,Sunday,Unknown,Female,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Entering a junction,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
10:00:00,Tuesday,18-30,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
3:29:00,Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12:01:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Governmental,,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
8:39:00,Wednesday,18-30,Male,,,,Lorry (11?40Q),Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
13:10:00,Saturday,Unknown,Female,Elementary school,Owner,2-5yr,Automobile,Owner,Unknown,7,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
17:02:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Other,Driver or rider,Female,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
18:10:00,Friday,Unknown,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:35:00,Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,2,,,Not a Pedestrian,Changing lane to the left,Slight Injury
18:30:00,Wednesday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
8:38:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:23:00,Tuesday,31-50,Male,,Owner,Below 1yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
16:25:00,Tuesday,18-30,Male,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
17:00:00,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
19:30:00,Thursday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
1:30:00,Monday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Drunk driving,Slight Injury
14:55:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
1:15:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,Over 51,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
17:00:00,Sunday,18-30,Male,Above high school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Serious Injury
9:30:00,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,School areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
20:20:00,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,2,,,Not a Pedestrian,Changing lane to the left,Serious Injury
14:45:00,Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,,,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
15:47:00,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
9:40:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10:40:00,Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
6:12:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
9:10:00,Friday,Over 51,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
6:47:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Organization,,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
16:30:00,Monday,31-50,Male,Elementary school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
18:25:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
23:05:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
14:52:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
13:50:00,Saturday,18-30,Female,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Unknown,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
